,Action,State (Before),State (After),Total Reward
1,1,"[-0.00997179,  0.03487994, -0.03837278,  0.04831601]",[-0.00927419  0.23053052 -0.03740646 -0.25622264],1
2,1,[-0.00927419  0.23053052 -0.03740646 -0.25622264],[-0.00466358  0.42616603 -0.04253092 -0.5604655 ],2
3,1,[-0.00466358  0.42616603 -0.04253092 -0.5604655 ],[ 0.00385974  0.6218583  -0.05374023 -0.8662388 ],3
4,0,[ 0.00385974  0.6218583  -0.05374023 -0.8662388 ],[ 0.0162969   0.42750725 -0.071065   -0.59092516],4
5,0,[ 0.0162969   0.42750725 -0.071065   -0.59092516],[ 0.02484705  0.23344846 -0.08288351 -0.32144722],5
6,0,[ 0.02484705  0.23344846 -0.08288351 -0.32144722],[ 0.02951602  0.03959861 -0.08931245 -0.0560105 ],6
7,0,[ 0.02951602  0.03959861 -0.08931245 -0.0560105 ],[ 0.03030799 -0.15413676 -0.09043266  0.20721135],7
8,0,[ 0.03030799 -0.15413676 -0.09043266  0.20721135],[ 0.02722525 -0.34785703 -0.08628843  0.47005334],8
9,0,[ 0.02722525 -0.34785703 -0.08628843  0.47005334],[ 0.02026811 -0.54166085 -0.07688737  0.7343402 ],9
10,0,[ 0.02026811 -0.54166085 -0.07688737  0.7343402 ],[ 0.0094349  -0.7356411  -0.06220056  1.0018684 ],10
11,1,[ 0.0094349  -0.7356411  -0.06220056  1.0018684 ],[-0.00527793 -0.5397457  -0.04216319  0.6903183 ],11
12,1,[-0.00527793 -0.5397457  -0.04216319  0.6903183 ],[-0.01607284 -0.3440648  -0.02835683  0.3846655 ],12
13,1,[-0.01607284 -0.3440648  -0.02835683  0.3846655 ],[-0.02295414 -0.148552   -0.02066352  0.08317839],13
14,1,[-0.02295414 -0.148552   -0.02066352  0.08317839],[-0.02592518  0.04685997 -0.01899995 -0.21595164],14
15,1,[-0.02592518  0.04685997 -0.01899995 -0.21595164],[-0.02498798  0.24224833 -0.02331898 -0.5145669 ],15
16,0,[-0.02498798  0.24224833 -0.02331898 -0.5145669 ],[-0.02014301  0.0474624  -0.03361032 -0.22932263],16
17,0,[-0.02014301  0.0474624  -0.03361032 -0.22932263],[-0.01919376 -0.14716354 -0.03819678  0.05257183],17
18,0,[-0.01919376 -0.14716354 -0.03819678  0.05257183],[-0.02213703 -0.34171757 -0.03714534  0.3329629 ],18
19,0,[-0.02213703 -0.34171757 -0.03714534  0.3329629 ],[-0.02897138 -0.53629166 -0.03048608  0.6137045 ],19
20,0,[-0.02897138 -0.53629166 -0.03048608  0.6137045 ],[-0.03969722 -0.7309746  -0.01821199  0.8966317 ],20
21,1,[-0.03969722 -0.7309746  -0.01821199  0.8966317 ],[-5.4316711e-02 -5.3561056e-01 -2.7935603e-04  5.9828025e-01],21
22,1,[-5.4316711e-02 -5.3561056e-01 -2.7935603e-04  5.9828025e-01],[-0.06502892 -0.34048474  0.01168625  0.30550933],22
23,1,[-0.06502892 -0.34048474  0.01168625  0.30550933],[-0.07183862 -0.14553124  0.01779643  0.01653474],23
24,0,[-0.07183862 -0.14553124  0.01779643  0.01653474],[-0.07474924 -0.34090382  0.01812713  0.3147791 ],24
25,0,[-0.07474924 -0.34090382  0.01812713  0.3147791 ],[-0.08156732 -0.53627926  0.02442271  0.6131232 ],25
26,1,[-0.08156732 -0.53627926  0.02442271  0.6131232 ],[-0.0922929  -0.34150696  0.03668518  0.3282314 ],26
27,1,[-0.0922929  -0.34150696  0.03668518  0.3282314 ],[-0.09912304 -0.14692596  0.0432498   0.0473393 ],27
28,1,[-0.09912304 -0.14692596  0.0432498   0.0473393 ],[-0.10206156  0.04755     0.04419659 -0.23139036],28
29,1,[-0.10206156  0.04755     0.04419659 -0.23139036],[-0.10111056  0.24201347  0.03956878 -0.50981116],29
30,1,[-0.10111056  0.24201347  0.03956878 -0.50981116],[-0.09627029  0.43655628  0.02937256 -0.7897668 ],30
31,1,[-0.09627029  0.43655628  0.02937256 -0.7897668 ],[-0.08753917  0.63126284  0.01357722 -1.0730664 ],31
32,0,[-0.08753917  0.63126284  0.01357722 -1.0730664 ],[-0.07491391  0.43596408 -0.0078841  -0.77615356],32
33,0,[-0.07491391  0.43596408 -0.0078841  -0.77615356],[-0.06619463  0.24095143 -0.02340717 -0.48596165],33
34,0,[-0.06619463  0.24095143 -0.02340717 -0.48596165],[-0.0613756   0.04616747 -0.03312641 -0.2007468 ],34
35,0,[-0.0613756   0.04616747 -0.03312641 -0.2007468 ],[-0.06045225 -0.14846542 -0.03714135  0.08130498],35
36,1,[-0.06045225 -0.14846542 -0.03714135  0.08130498],[-0.06342155  0.04716871 -0.03551525 -0.2228609 ],36
37,1,[-0.06342155  0.04716871 -0.03551525 -0.2228609 ],[-0.06247818  0.2427798  -0.03997246 -0.5265318 ],37
38,0,[-0.06247818  0.2427798  -0.03997246 -0.5265318 ],[-0.05762259  0.04824243 -0.0505031  -0.2467076 ],38
39,0,[-0.05762259  0.04824243 -0.0505031  -0.2467076 ],[-0.05665774 -0.14612322 -0.05543725  0.02962754],39
40,0,[-0.05665774 -0.14612322 -0.05543725  0.02962754],[-0.0595802  -0.34040815 -0.0548447   0.30431703],40
41,0,[-0.0595802  -0.34040815 -0.0548447   0.30431703],[-0.06638837 -0.53470737 -0.04875836  0.57921135],41
42,0,[-0.06638837 -0.53470737 -0.04875836  0.57921135],[-0.07708251 -0.7291133  -0.03717413  0.8561444 ],42
43,0,[-0.07708251 -0.7291133  -0.03717413  0.8561444 ],[-0.09166478 -0.9237095  -0.02005124  1.1369104 ],43
44,0,[-0.09166478 -0.9237095  -0.02005124  1.1369104 ],[-0.11013897 -1.1185635   0.00268697  1.423238  ],44
45,1,[-0.11013897 -1.1185635   0.00268697  1.423238  ],[-0.13251024 -0.9234749   0.03115173  1.1313962 ],45
46,1,[-0.13251024 -0.9234749   0.03115173  1.1313962 ],[-0.15097974 -0.72877437  0.05377965  0.84864414],46
47,1,[-0.15097974 -0.72877437  0.05377965  0.84864414],[-0.16555522 -0.5344255   0.07075253  0.5733459 ],47
48,1,[-0.16555522 -0.5344255   0.07075253  0.5733459 ],[-0.17624374 -0.34036317  0.08221945  0.30376458],48
49,1,[-0.17624374 -0.34036317  0.08221945  0.30376458],[-0.183051   -0.14650334  0.08829474  0.03810246],49
50,1,[-0.183051   -0.14650334  0.08829474  0.03810246],[-0.18598107  0.04724879  0.08905679 -0.22546868],50
51,1,[-0.18598107  0.04724879  0.08905679 -0.22546868],[-0.1850361   0.24099255  0.08454742 -0.48878452],51
52,1,[-0.1850361   0.24099255  0.08454742 -0.48878452],[-0.18021624  0.43482628  0.07477172 -0.7536692 ],52
53,1,[-0.18021624  0.43482628  0.07477172 -0.7536692 ],[-0.17151971  0.62884206  0.05969834 -1.0219173 ],53
54,1,[-0.17151971  0.62884206  0.05969834 -1.0219173 ],[-0.15894288  0.82312006  0.03926    -1.2952744 ],54
55,0,[-0.15894288  0.82312006  0.03926    -1.2952744 ],[-0.14248048  0.62752193  0.01335451 -0.99056375],55
