,Action,State (Before),State (After),Total Reward
1,0,"[-0.00038228,  0.00222322,  0.03816126,  0.01451947]",[-0.00033782 -0.19342464  0.03845165  0.31899428],1
2,0,[-0.00033782 -0.19342464  0.03845165  0.31899428],[-0.00420631 -0.38907254  0.04483154  0.6235512 ],2
3,0,[-0.00420631 -0.38907254  0.04483154  0.6235512 ],[-0.01198776 -0.5847908   0.05730256  0.93000966],3
4,1,[-0.01198776 -0.5847908   0.05730256  0.93000966],[-0.02368358 -0.39048716  0.07590275  0.6558703 ],4
5,1,[-0.02368358 -0.39048716  0.07590275  0.6558703 ],[-0.03149332 -0.19649939  0.08902016  0.3880205 ],5
6,1,[-0.03149332 -0.19649939  0.08902016  0.3880205 ],[-0.03542331 -0.00274637  0.09678058  0.12467913],6
7,1,[-0.03542331 -0.00274637  0.09678058  0.12467913],[-0.03547823  0.19086544  0.09927415 -0.13597047],7
8,1,[-0.03547823  0.19086544  0.09927415 -0.13597047],[-0.03166093  0.38443565  0.09655475 -0.3957575 ],8
9,1,[-0.03166093  0.38443565  0.09655475 -0.3957575 ],[-0.02397221  0.5780645   0.08863959 -0.6565049 ],9
10,1,[-0.02397221  0.5780645   0.08863959 -0.6565049 ],[-0.01241092  0.771848    0.0755095  -0.92001307],10
11,1,[-0.01241092  0.771848    0.0755095  -0.92001307],[ 0.00302604  0.96587265  0.05710923 -1.188042  ],11
12,1,[ 0.00302604  0.96587265  0.05710923 -1.188042  ],[ 0.02234349  1.1602097   0.03334839 -1.4622912 ],12
13,0,[ 0.02234349  1.1602097   0.03334839 -1.4622912 ],[ 0.04554768  0.9646952   0.00410257 -1.1593801 ],13
14,0,[ 0.04554768  0.9646952   0.00410257 -1.1593801 ],[ 0.06484158  0.76952004 -0.01908503 -0.86541367],14
15,0,[ 0.06484158  0.76952004 -0.01908503 -0.86541367],[ 0.08023199  0.574663   -0.03639331 -0.578792  ],15
16,0,[ 0.08023199  0.574663   -0.03639331 -0.578792  ],[ 0.09172525  0.38006946 -0.04796915 -0.29779226],16
17,0,[ 0.09172525  0.38006946 -0.04796915 -0.29779226],[ 0.09932663  0.18566297 -0.05392499 -0.02061547],17
18,0,[ 0.09932663  0.18566297 -0.05392499 -0.02061547],[ 0.1030399  -0.00864584 -0.0543373   0.25457782],18
19,0,[ 0.1030399  -0.00864584 -0.0543373   0.25457782],[ 0.10286698 -0.20295155 -0.04924574  0.5296389 ],19
20,0,[ 0.10286698 -0.20295155 -0.04924574  0.5296389 ],[ 0.09880795 -0.3973474  -0.03865297  0.80640674],20
21,0,[ 0.09880795 -0.3973474  -0.03865297  0.80640674],[ 0.090861   -0.5919188  -0.02252483  1.0866847 ],21
22,1,[ 0.090861   -0.5919188  -0.02252483  1.0866847 ],[ 0.07902262 -0.3965071  -0.00079114  0.78701985],22
23,1,[ 0.07902262 -0.3965071  -0.00079114  0.78701985],[ 0.07109248 -0.20137432  0.01494926  0.4940881 ],23
24,1,[ 0.07109248 -0.20137432  0.01494926  0.4940881 ],[ 0.06706499 -0.00646635  0.02483102  0.20615375],24
25,1,[ 0.06706499 -0.00646635  0.02483102  0.20615375],[ 0.06693567  0.18829188  0.02895409 -0.07859396],25
