,Action,State (Before),State (After),Total Reward
1,0,"[0.04194386, 0.01039038, 0.01500913, 0.01195436]",[ 0.04215166 -0.18494357  0.01524821  0.3093348 ],1
2,0,[ 0.04215166 -0.18494357  0.01524821  0.3093348 ],[ 0.03845279 -0.38027942  0.02143491  0.6067873 ],2
3,0,[ 0.03845279 -0.38027942  0.02143491  0.6067873 ],[ 0.0308472  -0.57569444  0.03357065  0.90614384],3
4,1,[ 0.0308472  -0.57569444  0.03357065  0.90614384],[ 0.01933331 -0.38104272  0.05169353  0.62419873],4
5,1,[ 0.01933331 -0.38104272  0.05169353  0.62419873],[ 0.01171246 -0.18667914  0.06417751  0.34823394],5
6,1,[ 0.01171246 -0.18667914  0.06417751  0.34823394],[0.00797888 0.0074741  0.07114219 0.07645889],6
7,1,[0.00797888 0.0074741  0.07114219 0.07645889],[ 0.00812836  0.20150788  0.07267137 -0.19295739],7
8,1,[ 0.00812836  0.20150788  0.07267137 -0.19295739],[ 0.01215852  0.39551908  0.06881221 -0.4618595 ],8
9,1,[ 0.01215852  0.39551908  0.06881221 -0.4618595 ],[ 0.0200689   0.58960444  0.05957503 -0.73208374],9
10,1,[ 0.0200689   0.58960444  0.05957503 -0.73208374],[ 0.03186099  0.7838548   0.04493335 -1.0054376 ],10
11,1,[ 0.03186099  0.7838548   0.04493335 -1.0054376 ],[ 0.04753808  0.97834873  0.0248246  -1.2836782 ],11
12,0,[ 0.04753808  0.97834873  0.0248246  -1.2836782 ],[ 6.7105055e-02  7.8291965e-01 -8.4896281e-04 -9.8332715e-01],12
13,0,[ 6.7105055e-02  7.8291965e-01 -8.4896281e-04 -9.8332715e-01],[ 0.08276345  0.5878091  -0.02051551 -0.690911  ],13
14,0,[ 0.08276345  0.5878091  -0.02051551 -0.690911  ],[ 0.09451963  0.3929777  -0.03433372 -0.40475658],14
15,0,[ 0.09451963  0.3929777  -0.03433372 -0.40475658],[ 0.10237919  0.19835907 -0.04242886 -0.12309278],15
16,0,[ 0.10237919  0.19835907 -0.04242886 -0.12309278],[ 0.10634637  0.00386986 -0.04489071  0.15590814],16
17,0,[ 0.10634637  0.00386986 -0.04489071  0.15590814],[ 0.10642377 -0.19058158 -0.04177255  0.434098  ],17
18,0,[ 0.10642377 -0.19058158 -0.04177255  0.434098  ],[ 0.10261213 -0.385088   -0.03309059  0.71332556],18
19,0,[ 0.10261213 -0.385088   -0.03309059  0.71332556],[ 0.09491038 -0.5797366  -0.01882408  0.99541175],19
